ME-NEXUS_INFRA_ID,INFRA_NAME,INFRA_IS_ACTIVE,INFRA_DESCRIPTION,INFRA_PARENT_ORGANIZATION,INFRA_HAS_API,INFRA_RELEASE_DATE,INFRA_LATEST_VERSION,INFRA_LICENSE,INFRA_YEARLY_CORPORATE_PRICING,INFRA_FUNCTIONAL_TYPE,INFRA_STRUCTURAL_TYPE,INFRA_RELATED_SERVICES,INFRA_RELATED_CONTENT_TYPES
482ae3ec-3b5b-481e-8c7b-d3506fb8d314,Asana,True,"Asana is a work management platform designed for project tracking, team collaboration, and workflow automation.",Asana,True,2012.0,SaaS Tool,"Subscription, Free",$101 – $500,CommunicationAndTeamManagement,Cloud,Production Services,Promotional Content
019bdadd-d11d-4988-b220-94d456364ac7,ChatGPT,True,"ChatGPT is an AI-powered conversational assistant developed by OpenAI for text generation, analysis, and general knowledge queries.",OpenAI,True,2022.0,SaaS Tool,"Subscription, Free",$101 – $500,GenerativeAISoftware,Cloud,"Production Services, Creative Research, Concept Development",Scripted Content
2605a153-d77e-456c-96f4-490f1309d41d,Gaffer,True,"Gaffer is an open-source, node-based application for look development, lighting, and scene assembly in VFX.",Image Engine Design Inc.,True,2011.0,0.65.x,"Open-Source, Free",Free,3DDesignSoftware,Software,Lighting,Scripted Content
199653fe-0713-43bb-9dbc-94a6a2004cea,KeyShot,True,KeyShot is a real-time 3D rendering and animation software used for creating photorealistic product visualizations.,"Luxion, Inc.",True,2010.0,2026,Subscription,"$1,001 – $5,000",3DDesignSoftware,Software,Rendering,Promotional Content
dedc4692-6ab9-46a1-b935-8b1eee71c42c,MSI,True,"MSI (Micro-Star International) is a company that designs and manufactures computer hardware, including laptops, motherboards, and graphics cards.",MSI,False,1999.0,(Part of Windows 12),Free,$101 – $500,SoftwareDeveloperKit,Software,Design,Scripted Content
252d31c8-aac8-4e43-bfb0-78869646bd5b,Marvia,True,Marvia is a brand management and marketing asset distribution platform for managing and localizing marketing materials.,Marvia,True,2005.0,SaaS Tool,Subscription,"$501 – $1,000",ContentMarketingSoftware,Software,Managed Services,Promotional Content
33767fde-b5cd-4fbb-a210-2b18cc58961b,Pencil2D,True,Pencil2D is a free and open-source 2D animation software for creating traditional hand-drawn animations.,Pencil2D Team,True,2006.0,0.7.0,"Open-Source, Free",Free,VideoSoftware,Software,Animation,"Scripted Content, Promotional Content"
92f3ba03-d777-4cbe-8068-c89a1a335a96,Autodesk AutoCAD,True,"Autodesk AutoCAD is an industry-standard computer-aided design (CAD) software for 2D and 3D design, drafting, and documentation.","Autodesk, Inc.",True,1982.0,2026,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
9650c947-c0f4-4471-a45c-3360d9c06bae,Autodesk Shotgun,True,"Autodesk Flow Production Tracking is a production management and review platform for creative teams in VFX, animation, and games.","Autodesk, Inc.",True,2006.0,SaaS Tool,Subscription,"$501 – $1,000",CommunicationAndTeamManagement,Cloud,Production Services,"Scripted Content, Video Game, Promotional Content, Unscripted, Location-Based Content"
72056557-d50b-4425-9989-b4a19cbd8780,DaVinci Resolve,True,"DaVinci Resolve is an all-in-one software for professional video editing, color correction, visual effects, and audio post-production.",Blackmagic Design Pty. Ltd.,True,2004.0,20,"Consumption, Free",$101 – $500,VideoSoftware,Software,"Production Services, Editorial","Scripted Content, Promotional Content, Social, Unscripted"
144f0d54-e3ef-48e7-b50e-55ea0f2d6934,FilmPack,True,DxO FilmPack is a photo editing software that provides analog film emulation and vintage photo effects for digital images.,DxO Labs,False,2007.0,8,Permanent,$101 – $500,PhotographySoftware,Software,Production Services,"Scripted Content, Promotional Content"
0268573a-4349-49ea-93e6-8b313cd5443d,IES Virtual Environment,True,IES Virtual Environment (IESVE) is a building performance simulation and energy modeling software for sustainable design.,Integrated Environmental Solutions (IES) Ltd.,True,1994.0,VE 2025,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
eccd2b37-779e-4ac4-beb3-57d3d54cef69,Linguix,True,Linguix is an AI-powered writing assistant and grammar checker designed to improve written communication and style.,Linguix,True,2018.0,SaaS Tool,"Subscription, Free",≤ $100,EditorialSoftware,Software,Production Services,Promotional Content
90150840-17cd-4dcf-8221-276f06510490,Marvelous Designer,True,Marvelous Designer is a 3D clothing design software used for creating realistic virtual garments for fashion and character creation.,CLO Virtual Fashion LLC.,True,2011.0,2025,Subscription,"$501 – $1,000","3DDesignSoftware, ApparelSoftware",Software,"3D Asset Creation, Concept Development, Production Services","Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
1357797b-3c99-4fe6-a786-09e45d8ea341,Massive,True,Massive is an AI-driven crowd simulation software used to create realistic crowd scenes for film and games.,Massive Limited,True,1996.0,11,Subscription,"$5,001 – $10,000",3DDesignSoftware,Software,"Animation, FX-Simulation","Scripted Content, Video Game, Promotional Content, Unscripted"
3e827342-36ba-4deb-97a9-07ca5349ca15,MechDesigner,True,MechDesigner is a specialized software for mechanism and machine design in the field of mechanical engineering.,PSMotion,False,1999.0,16,Permanent,"$5,001 – $10,000",CADSoftware,Software,Design,Promotional Content
1ce4ac4b-9062-4843-a63e-1910170baf38,Nero,True,"Nero is a multimedia software suite for burning discs, managing media, and performing backup and recovery tasks.",Nero AG,True,1997.0,Nero 2026,Permanent,$101 – $500,VideoSoftware,Software,Production Services,Promotional Content
225a4746-022f-4566-83e0-bd5ce38d1bd1,PastePal,True,PastePal is a clipboard manager application for macOS and iOS that stores and organizes copied items.,Paste,True,2021.0,3.5,Permanent,≤ $100,DataManagement,Software,,Scripted Content
b9fbfc04-cbb2-4d08-963a-4c20fffaf45b,Steam Audio,True,3D spatial audio SDK for games and VR applications,Valve Corporation,True,2017.0,4.5.x,"Open-Source, Free",Free,Audio Software,Software,Sound Design,Scripted Content
f7b55d52-1665-49ed-8a3c-5426a0efc638,TestFit,True,AI-powered site planning and feasibility software for real estate development,TestFit Inc.,True,2017.0,SaaS Tool,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
aff2ade9-0ebe-4781-8e1d-523017e0ea35,Box,True,Box.com is a cloud content management and collaboration platform that provides secure file sharing and storage for businesses.,Box Inc.,True,2005.0,SaaS Tool,"Subscription, Free",$101 – $500,"CloudPlatform, CommunicationAndTeamManagement",Cloud,Production Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
8fbe5dcb-5557-4c0b-bfcd-28fba0bcf468,Filmtrack,True,FilmTrack is a rights management and production management software for tracking film and television projects.,"FilmTrack, Inc",True,1996.0,SaaS Tool,Subscription,"$10,001+",DataManagement,Software,Production Services,"Scripted Content, Promotional Content"
3f4ef420-18cf-41e0-b83f-ff770d527473,Google Cloud Platform,True,"Google Cloud Platform (GCP) is a suite of cloud computing services offering compute, storage, networking, and machine learning.",Google LLC,True,2008.0,SaaS Tool,Consumption,Consumption,CloudPlatform,Cloud,Managed Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
9521b59d-7f3c-490e-b4ba-0ead23ff7214,Greenslate,True,Greenslate is a payroll and production management software designed specifically for the entertainment industry.,Greenslate,True,2008.0,SaaS Tool,Subscription,Consumption,CommunicationAndTeamManagement,Cloud,Production Services,"Scripted Content, Promotional Content"
d34da5a3-65f1-4886-92d0-15128392bb94,Hootsuite,True,"Hootsuite is a social media management platform used for scheduling, publishing, and analyzing content across multiple social networks.",Hootsuite,True,2008.0,SaaS Tool,"Subscription, Free",$101 – $500,ContentMarketingSoftware,Software,Production Services,"Promotional Content, Social"
167a95c7-c8bc-40b5-970f-037cbf56ab27,Mari,True,Foundry Mari is a professional 3D texture painting software used for creating high-resolution textures in VFX and game development.,The Foundry Visionmongers Ltd.,True,2010.0,8,Subscription,"$1,001 – $5,000",3DDesignSoftware,Software,3D Asset Creation,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
14289b83-8785-42f3-9245-943d7d92b37b,PIX (Pix System),True,Autodesk PIX is a secure collaboration and asset management platform for reviewing film and television content during production.,Pixelicious,True,2003.0,SaaS Tool,Subscription,Consumption,VideoSoftware,Cloud,Creative Supervision,"Scripted Content, Promotional Content"
3a2b92a7-2be0-425a-ae3b-47f11937ed0f,Pandora,True,Pandora is an internet radio and music streaming service that provides personalized music recommendations.,Pandora Media LLC,True,2005.0,SaaS Tool,"Subscription, Free",$101 – $500,VideoSoftware,Software,,"Promotional Content, Social, Unscripted"
b2fa82a9-0982-45ad-8781-93933aa4d53b,QlikView,True,QlikView is a business intelligence and data discovery platform for creating guided analytics applications and dashboards.,QlikTech International AB,True,1994.0,12.9,Subscription,"$1,001 – $5,000",DataManagement,Software,Managed Services,Scripted Content
00a24d02-e843-4e09-89ea-ff30e40aed8c,Red Giant Suite,True,Maxon Red Giant is a suite of visual effects and motion graphics plugins and software for video editors and artists.,Maxon,True,2002.0,2026,Subscription,"$501 – $1,000",VideoSoftware,Software,"Motion Graphics, Compositing","Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
1e992251-b741-455d-a517-411a50cf465c,StreamYard,True,Live streaming platform for broadcasting to multiple social media platforms,StreamYard Inc.,True,2018.0,SaaS Tool,Subscription,$101 – $500,VideoSoftware,Software,Production Services,Scripted Content
2ad57b38-8d79-4003-aac8-02cb033c2c99,Tekla Structures,True,Building Information Modeling (BIM) software for structural engineering,Trimble Inc.,True,1993.0,2025,Subscription,"$5,001 – $10,000",CADSoftware,Software,Design,Scripted Content
a02fdd08-9665-40e2-9d4a-020dea6d028c,Unreal Engine 4,True,Previous generation of Unreal Engine game development platform,"Epic Games, Inc.",True,2014.0,4.27 (Final Version),"Subscription, Free","$1,001 – $5,000","GameEngine, GameDevelopmentSoftware",Software,"Animation, Game Development, Extended Reality, Virtual Production","Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
47ab343e-b308-4a89-85e4-684df9e6ed9e,SketchBook,True,Digital art and drawing software,"Autodesk, Inc.",False,2005.0,6,Permanent,≤ $100,GraphicDesignSoftware,Software,Concept Development,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
6c82ab25-e585-417a-b658-a2731bb5d770,Transfer,True,File sharing and collaboration platform,WeTransfer,True,2009.0,SaaS Tool,"Subscription, Free",Consumption,DataManagement,Software,Production Services,Scripted Content
f3d8c87d-1d64-40d3-a081-62c017ca075b,YouTube BrandConnect,True,Platform connecting creators with brands for sponsorships.,Google,True,2013.0,SaaS Tool,Free,Consumption,ContentMarketingSoftware,Cloud,Production Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
3951810a-79c2-47e6-bca0-c1a84c494cbf,Adobe Audition,True,"Adobe Audition is a professional digital audio workstation for recording, mixing, and restoring audio content.",Adobe Inc.,True,1992.0,2025 (v25.x),Subscription,"$501 – $1,000",Audio Software,Software,Sound Design,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Reality, Location-Based Content"
892c4293-1ce8-4a99-ad40-83202f77a92c,Adobe Dimension,True,"Adobe Dimension is a 3D design and rendering software used for creating product mockups, branding, and packaging designs.",Adobe Inc.,False,2017.0,Integrated,Subscription,"$501 – $1,000",3DDesignSoftware,Software,"Concept Development, Communication, Lighting, Visual Effects, Rendering",Promotional Content
95c8f77b-3aca-461c-9f6c-310dacdc217e,Adobe Premiere Pro,True,"Adobe Premiere Pro is a professional non-linear video editing software for film, TV, and web content creation.",Adobe Inc.,True,1991.0,2025 (v25.x),Subscription,"$501 – $1,000",VideoSoftware,Software,Editorial,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Reality, Location-Based Content"
95155606-48c9-4685-9c7c-e1df5d770f56,Altair Inspire Render,True,Altair Inspire Render is a 3D rendering and animation software for creating photorealistic images and presentations of product designs.,Altair,True,2019.0,2025,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
417fed79-2626-4986-aecd-ffd6dcb8e5e6,Amazon ECS,True,"Amazon Elastic Container Service (ECS) is a container orchestration service for deploying, managing, and scaling containerized applications on AWS.","Amazon Web Services, Inc.",True,2014.0,SaaS Tool,Consumption,Consumption,CloudPlatform,Cloud,Managed Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Reality, Location-Based Content"
b78b2ad7-d9eb-4a52-b632-b16b78bfaf8b,Assimilate Scratch,True,"Assimilate Scratch is a professional color grading, finishing, and dailies software for digital post-production workflows.","Assimilate, Inc.",True,2004.0,9.8,Subscription,"$501 – $1,000",VideoSoftware,Software,Production Services,"Scripted Content, Promotional Content, Unscripted"
e6dbfd70-64c7-4043-9038-248022217811,Autodesk Revit,True,"Autodesk Revit is a Building Information Modeling (BIM) software for architectural design, MEP engineering, and construction.","Autodesk, Inc.",True,2000.0,2026,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
7f645b7d-f263-455d-a1c6-7bfbd17c6b64,Notion,True,"Notion is an all-in-one workspace application that combines notes, tasks, wikis, and databases for collaboration.",Notion Labs,True,2016.0,SaaS Tool,Subscription,"$501 – $1,000","CommunicationAndTeamManagement, DataManagement",Cloud,Production Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
ae270c01-6636-4f48-8bb8-bf9be70952f6,Amazon S3 Glacier,True,Amazon S3 Glacier is a low-cost cloud storage service designed for long-term data archiving and backup.,"Amazon Web Services, Inc.",True,2012.0,SaaS Tool,Consumption,Consumption,CloudPlatform,Cloud,Managed Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Reality, Location-Based Content"
4575960c-a766-4b45-829f-98444985e7ba,Autodesk VRED,True,Autodesk VRED is a 3D visualization and virtual prototyping software primarily used for automotive design and marketing.,"Autodesk, Inc.",True,2000.0,2026,Subscription,"$5,001 – $10,000",CADSoftware,Software,Design,Scripted Content
25400380-fea8-4d5d-92c8-4a1cb120bc4a,Ceros,True,Ceros is a cloud-based design platform for creating interactive and animated content for websites and digital experiences without coding.,Ceros,True,2007.0,SaaS Tool,Subscription,"$5,001 – $10,000",ContentMarketingSoftware,Software,Creative Research,Scripted Content
bb2fd43c-1be5-4cf6-8575-7dfb321dc1ce,Ecamm Live,True,"Ecamm Live is a live streaming and video production software for macOS, designed for content creators and professionals.",Ecamm Network,False,2017.0,5,Subscription,$101 – $500,VideoSoftware,Software,Production Services,Unscripted
b9fb7c42-0948-4397-989c-38cbcfd2538b,Figma,True,"Figma is a collaborative interface design and prototyping tool for creating websites, applications, and other digital products.","Figma, Inc.",True,2016.0,SaaS Tool,"Subscription, Free",$101 – $500,GraphicDesignSoftware,Cloud,UI Design,"Promotional Content, Social"
d077f546-fb81-4bed-b89f-7d332fd864f9,LinkedIn,True,LinkedIn is a professional networking and career development platform for connecting with colleagues and industry leaders.,PostGenerator,True,2003.0,SaaS Tool,"Subscription, Free",$101 – $500,CollaborationAndCommunication,Cloud,Production Services,Promotional Content
76aab195-6dec-497e-90f8-0e4ba58636e4,Linux,True,Linux is an open-source operating system kernel that serves as the foundation for numerous distributions used in servers and desktops.,The Linux Foundation,True,1991.0,Kernel 7.0,"Open-Source, Free",Free,OperatingSystem,Software,,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
97a1e0ea-57d7-4bb4-98c7-602334c5dd7d,NukeX,True,"Foundry NukeX is an extended version of Nuke that includes advanced tools for 3D compositing, tracking, and cleanup.",The Foundry Visionmongers Ltd.,True,2008.0,16,Subscription,"$10,001+",VideoSoftware,Software,Compositing,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
b7671629-c4e3-43d5-9a36-7175ce3e71f3,PowerDirector,True,"CyberLink PowerDirector is a video editing software for consumer and prosumer markets, offering a range of editing tools and effects.",CyberLink Corp.,False,2001.0,365 (2025 version),Subscription,$101 – $500,VideoSoftware,Software,Editorial,"Promotional Content, Social"
c90f8359-0406-4ca9-9523-4e61fb6b0f48,Snowflake,True,"Cloud data platform for data warehousing, analytics, and sharing",Snowflake Inc.,True,2014.0,SaaS Tool,Consumption,Consumption,DataManagement,Cloud,Managed Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
780d93da-49dc-4c4e-8840-2151e044f1d4,Social Blade,True,"Analytics platform for YouTube, Twitch, and social media stats.",Social Blade LLC,True,2008.0,SaaS Tool,"Subscription, Free",Free,CollaborationAndCommunication,Software,Production Services,Scripted Content
830c28fe-3ed1-44e8-a05e-e28382582a8c,Substance Painter,True,3D painting software for texturing models.,Adobe Inc.,True,2014.0,2025 (v11.x),Subscription,"$1,001 – $5,000","3DDesignSoftware, GameDevelopmentSoftware",Software,"3D Asset Creation, Game Development","Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
90b1ceb5-3d9f-4fff-98cb-ae323a83008c,Tableau,True,Business intelligence and data visualization platform,Salesforce Inc.,True,2004.0,2025.3,Subscription,"$1,001 – $5,000",DataManagement,Cloud,Managed Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
ac7adbdc-4795-4012-a050-f3f042e5dfe9,TeamViewer,True,Remote access and remote control software,TeamViewer AG,True,2005.0,15.5x,Subscription,"$501 – $1,000",CommunicationAndTeamManagement,Software,Design,Scripted Content
517437a5-cc07-4145-bf5f-75fdfad4ca67,Google Workspace,True,Google Workspace is a suite of cloud-based productivity and collaboration applications developed by Google.,Google LLC,True,2006.0,SaaS Tool,Subscription,$101 – $500,CommunicationAndTeamManagement,Cloud,Production Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
32408384-6b85-443e-8499-d701e96ee34d,Harmony,True,"Toon Boom Harmony is an industry-standard 2D animation software used for creating feature films, television series, and games.",Toon Boom Animation Inc.,True,1996.0,25,Subscription,"$1,001 – $5,000",VideoSoftware,Software,Animation,"Scripted Content, Promotional Content"
d14e8882-aa46-4a05-a8de-b3d52ab0a3ff,Muse,False,"Adobe Muse was a no-code website builder for creating responsive websites without writing code, now discontinued.",Adobe Inc.,False,2012.0,2018.1 (Final Version),Subscription,Consumption,GraphicDesignSoftware,Software,UI Design,Scripted Content
a7fea59f-487e-432b-8b7e-7beda50207de,Nuke,True,Foundry Nuke is a node-based digital compositing and visual effects software used in film and television post-production.,The Foundry Visionmongers Ltd.,True,1993.0,16,Subscription,"$1,001 – $5,000",VideoSoftware,Software,Compositing,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
beffd142-fb83-461e-80ac-ea25e2c5fdca,Onshape,True,"Onshape is a cloud-native 3D CAD platform that provides tools for product design, data management, and collaboration.",PTC,True,2015.0,SaaS Tool,"Subscription, Free","$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
75819ed6-44a8-4ee5-9bc2-dcc37d3e2b14,Procreate,True,"Procreate is a digital painting and illustration application designed for the iPad, known for its extensive brush library.",Savage Interactive,False,2011.0,6,Permanent,≤ $100,GraphicDesignSoftware,Software,"Concept Development, 3D Asset Creation","Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
c638032b-501d-4989-8158-bd630b66504e,Revizto,True,Collaboration software for BIM and project coordination.,Revizto,True,2011.0,6,Subscription,"$501 – $1,000",CADSoftware,Software,Production Services,Scripted Content
1120b294-9579-4611-a46c-fc57371f20c6,Rome,True,Unified developer tools for JavaScript and TypeScript,Rome Tools,True,2019.0,SaaS Tool,Subscription,Consumption,DataManagement,Software,Production Services,Scripted Content
0e5799a6-beb5-470a-be90-c7759bcd55e8,SolidWorks PCB,True,PCB design and electronic design automation software integrated with SolidWorks,Dassault Systemes,True,2016.0,(Discontinued),Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
8178c38b-1413-4e79-8a3a-6f68eaa3f577,Substance Designer,True,Node-based material authoring tool for 3D assets.,Adobe Inc.,True,2005.0,2025 (v15.x),Subscription,"$1,001 – $5,000","3DDesignSoftware, GameDevelopmentSoftware",Software,"3D Asset Creation, Game Development","Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
